Year;Country;G01N;G05B;G06F;G06K;G06N;G06Q;G06T;G10L;H04L;H04N;Automation_and_Control_Systems;Computer Science_Artificial_Intelligence;Computer Science_Information_Systems;Computer Science_Interdisciplinary_Applications;Computer Science_Theory_and_Methods;Engineering_Electrical_and_Electronic;Engineering_Multidisciplinary;Environmental_Sciences;Instruments_and_Instrumentation;Neurosciences;Adjusted net national income (current US$);Adjusted savings_education expenditure (% of GNI);Adjusted savings_education expenditure (current US$);Age dependency ratio (% of working-age population);Age dependency ratio, old (% of working-age population);Age dependency ratio, young (% of working-age population);Agricultural machinery, tractors per 100 sq. km of arable land;Exports of goods and services (% of GDP);External balance on goods and services (% of GDP);Final consumption expenditure (% of GDP);Fixed telephone subscriptions (per 100 people);Foreign direct investment, net inflows (% of GDP);Foreign direct investment, net inflows (BoP, current US$);Foreign direct investment, net outflows (% of GDP);Foreign direct investment, net outflows (BoP, current US$);GDP (constant 2010 US$);GDP per capita (constant 2010 US$);General government final consumption expenditure (% of GDP);GNI (current LCU);GNI per capita (current LCU);Gross capital formation (% of GDP);Gross fixed capital formation (% of GDP);Gross national expenditure (% of GDP);Imports of goods and services (% of GDP);Inflation, GDP deflator (annual %);Lower secondary school starting age (years);Merchandise exports by the reporting economy (current US$);Merchandise exports to high-income economies (% of total merchandise exports);Merchandise imports by the reporting economy (current US$);Merchandise imports from high-income economies (% of total merchandise imports);Merchandise trade (% of GDP);Population, total;Preprimary education, duration (years);Primary education, duration (years);Primary school starting age (years);Real effective exchange rate index (2010 = 100);Secondary education, duration (years);Trade (% of GDP);Urban population (% of total population);AI_publications;AI_patents
1980;Australia;37;0;15;3;0;2;0;1;7;16;17;2;17;20;17;90;33;59;61;193;1,21E+11;5;7400000000;53,66750961;14,78862559;38,87888402;;16,43543144;0,52669558;73,20473431;32,50980488;1,246018917;1866223965;1,246018917;1866223965;4,39E+11;29907,78635;17,23886537;1,33E+11;9051,388511;27,12482239;26,44487922;100,3295567;15,90873586;10,01594997;12;22055600000;71,11581639;22400110000;87,76144403;29,60642338;14692000;1;6;6;92,31217448;6;32,34416729;85,552;1;0
1981;Australia;73;2;6;5;0;3;0;0;2;16;23;0;23;27;23;101;35;73;75;220;1,45E+11;5;8800000000;52,81220213;14,94827245;37,86392968;;14,9084408;-1,831841306;73,8882097;34,30505948;1,328417227;2346546543;1,328417227;2346546543;4,54E+11;30419,53253;17,83531175;1,52E+11;10156,29396;28,71790827;28,43659213;102,606118;16,7402821;9,525604285;12;21817990000;73,27311086;26175660000;89,73924631;26,99919785;14927000;1;6;6;100,2579799;6;31,6487229;85,7;0;0
1982;Australia;29;3;18;9;0;0;1;4;2;7;17;2;17;24;20;92;30;78;62;215;1,56E+11;5;9500000000;52,30609572;15,06974391;37,23635181;;13,53764506;-3,29187878;73,88420058;35,76005536;1,179913551;2286321730;1,179913551;2286321730;4,69E+11;30912,22222;17,76395959;1,72E+11;11347,87192;29,87575022;28,99313267;103,7599508;16,82952384;11,7095513;12;22092270000;71,82648048;26519870000;89,03622077;24,78553538;15178000;1;6;6;100,6520163;6;30,3671689;85,67;0;0
1983;Australia;48;1;7;2;0;1;0;0;0;6;14;5;19;33;18;118;29;111;63;219;1,44E+11;5;8800000000;51,99707181;15,1789385;36,81813331;;13,59135533;-2,032174331;77,79516486;36,80025741;1,68951986;2990964045;1,68951986;2990964045;4,59E+11;29850,19433;18,67760643;1,88E+11;12211,7249;25,33609647;26,58585196;103,1312613;15,62352966;10,15780775;12;20665750000;75,09787934;21383070000;90,54270505;23,48240536;15369000;1;6;6;98,60079193;6;29,21488499;85,641;0;0
1984;Australia;24;5;11;6;0;0;0;0;3;5;19;8;18;29;25;130;32;100;66;220;1,57E+11;5,1;9741000000;51,65659265;15,31039843;36,34619422;;13,57684485;-1,428450918;75,19659946;37,93380685;0,221613378;428250491;0,221613378;428250491;4,8E+11;30866,25182;18,34350308;2,11E+11;13560,08749;26,66910366;26,07344712;101,8657031;15,00529577;7,863203181;12;23892380000;74,47349322;25784310000;89,94097573;25,37230924;15544000;1;6;6;101,7172538;6;28,58214061;85,611;0;0
1985;Australia;31;1;2;7;0;0;0;0;1;14;33;2;21;54;33;108;35;116;61;283;1,44E+11;5;8900000000;51,20214243;15,48388428;35,71825815;;15,25628586;-2,049180328;74,1845837;39,49800886;1,164384384;2098624894;1,164384384;2098624894;5,05E+11;32045,31602;18,91757316;2,32E+11;14701,16766;28,06504605;27,07726878;102,2496297;17,30546618;4,627898181;12;22625810000;74,42809782;25865420000;91,12397943;26,90547133;15758000;1;6;6;85,60655317;6;32,56175204;85,582;5;0
1986;Australia;37;6;8;8;0;1;0;0;1;6;43;1;23;44;45;110;35;156;58;254;1,45E+11;4,9;8771000000;51,02335147;15,6739063;35,34944517;;15,008838;-3,071395635;75,37772825;40,84459615;2,949819022;5369760089;2,949819022;5369760089;5,25E+11;32797,09464;19,00245927;2,56E+11;15956,27528;28,54711036;28,20742392;103,9248386;18,08023363;6,455740268;12;22552590000;74,20912631;26237200000;90,97899166;26,73798063;16018400;1;6;6;74,87977121;6;33,08907163;85,552;4;0
1987;Australia;26;0;12;9;0;0;0;0;1;9;29;5;17;32;28;130;26;109;75;314;1,51E+11;4,7;8742000000;50,60887513;15,88179612;34,727079;;15,49274084;-1,59953519;75,78751733;42,11969498;2,745431403;5190522203;2,745431403;5190522203;5,39E+11;33126,79271;18,95151693;2,8E+11;17245,55611;27,41645316;27,99641592;103,2039705;17,09227603;7,052982861;12;26550380000;77,57715709;29717810000;89,06830618;29,58790681;16263900;1;6;6;74,72647108;6;32,58501687;85,522;2;0
1988;Australia;50;4;10;5;0;0;0;0;0;9;36;6;22;61;39;105;37;117;56;341;1,89E+11;4,6;10626000000;50,10821698;16,09989212;34,00832486;;15,98690914;-0,660718145;73,45209793;43,10381161;3,596879461;8476377245;3,596879461;8476377245;5,7E+11;34460,03653;18,0623051;3,18E+11;19223,27337;28,02772546;27,82117386;101,4798234;16,64762728;7,209393684;12;32764430000;78,81098496;36670980000;89,50592539;29,41875427;16532200;1;6;6;82,66639975;6;32,63453642;85,493;3;0
1989;Australia;42;0;6;0;1;1;0;0;7;0;41;13;26;57;34;128;33;173;60;378;2,38E+11;4,5;13095000000;49,73954275;16,32041149;33,41913126;;15,14838204;-1,833586827;71,87801845;44,39384279;2,680931833;8023170407;1,010622595;3024469775;5,92E+11;35191,11444;17,39309065;3,57E+11;21254,75783;29,67015027;28,75703002;101,5481687;16,98196887;9,251755909;12;37208062255;76,43533482;45035003457;88,98542286;27,41957272;16814400;1;6;6;88,70880925;6;32,13035091;85,463;8;1
1990;Australia;32;6;23;5;0;0;0;0;3;10;30;11;44;99;76;193;49;168;80;366;2,41E+11;4,4;13200000000;49,58453173;16,54218163;33,0423501;;15,14652536;-1,927176833;72,40469971;45,9116445;2,721491879;8457776860;0,203708025;633078140;6,13E+11;35912,20924;17,23836525;3,9E+11;22829,40036;29,00273613;27,71836426;101,4074358;17,0737022;6,095001343;12;38982471524;77,35050024;43051390317;88,79034429;26,30083359;17065100;1;6;6;86,52360224;6;32,22022756;85,433;6;1
1991;Australia;19;0;8;1;0;0;0;0;0;8;39;26;24;76;67;230;30;192;82;399;2,53E+11;4,4;13728000000;49,56553396;16,83577015;32,72976381;;16,06140736;-0,132697031;75,39097371;46,80852091;0,802945865;2612066526;-0,360288215;-1172055089;6,1E+11;35316,53701;18,19951843;3,98E+11;23004,85999;24,26956316;24,61867699;99,66053687;16,19410439;3,039705857;12;41910053818;78,70194881;42630287852;86,07539708;25,66840657;17284000;1;6;6;85,14064148;6;32,25551175;85,403;23;1
1992;Australia;17;0;19;2;0;0;2;0;2;3;49;42;53;95;76;232;48;217;72;367;2,52E+11;4,5;14040000000;49,742895;17,12335468;32,61954032;;16,69136445;0,272464729;77,97509706;47,44809743;1,521153595;4941906672;1,180546033;3835344660;6,13E+11;35034,53266;19,04483477;4,06E+11;23200,74307;22,39016192;22,88395985;100,365259;16,41889973;1,50224417;12;42491776048;77,50137074;44815930984;84,13653474;26,66563046;17495000;1;6;6;76,92033581;6;33,11026418;85,285;25;0
1993;Australia;6;2;8;2;0;0;0;1;0;5;41;42;76;97;78;249;64;206;135;367;2,46E+11;5,2;15756000000;50,00914897;17,3917647;32,61738427;;17,57279145;-0,320936422;77,16524955;48,51389278;1,705193553;5312435142;0,817151266;2545789066;6,38E+11;36091,38898;18,93164032;4,31E+11;24412,1243;23,64667674;23,5300751;100,8119263;17,89372787;0,893858286;12;42565011599;75,58254106;46720892761;83,59566216;28,34266898;17667000;1;6;6;71,60689101;6;35,46651932;85,157;27;0
1994;Australia;112;5;41;7;1;12;37;3;11;42;72;68;143;127;141;336;69;296;119;398;2,57E+11;5,2;16380000000;50,19027606;17,62264817;32,56762789;;18,00531178;-0,515504866;76,0508162;49,72321027;1,383712746;4458484244;0,567272113;1827817069;6,63E+11;37133,6484;18,37202661;4,55E+11;25494,81938;24,31611334;24,00908628;100,3669295;18,52081665;1,021177545;12;47484361388;73,90150879;55089829894;83,94578692;31,33126534;17855000;1;6;6;75,1851279;6;36,52612843;85,028;43;1
1995;Australia;93;7;36;14;1;4;19;0;18;37;97;81;83;158;125;426;83;284;153;478;2,9E+11;4,88583797;17344724795;50,21196494;17,81071547;32,40124947;;17,91688487;-1,967781918;75,92075492;49,46347689;3,613367058;13268875155;1,101707238;4045649269;6,88E+11;38095,12953;18,02445371;4,77E+11;26421,59141;26,047027;25,16019063;101,9677819;19,88466679;2,262768723;12;53014000357;73,98367712;63229777374;83,36927871;31,1516618;18072000;1;7;5;73,50240887;6;37,80155166;84,898;61;0
1996;Australia;76;6;32;10;0;13;14;0;19;43;116;103;115;139;165;418;107;332;116;600;3,17E+11;5,2;20072000000;50,25004476;17,97862283;32,27142193;;18,93919435;-0,453943241;75,6026831;50,41431828;1,140125232;4563952446;1,250652373;5006395610;7,15E+11;39056,18102;17,95511364;5,09E+11;27792,31063;24,85126014;24,21138023;100,4539432;19,39313759;2,695795639;12;60309927903;70,67466803;67716448639;82,05663182;31,40822936;18311000;1;7;5;80,38114458;6;38,33233194;84,767;75;0
1997;Australia;93;0;120;38;1;14;40;0;25;189;104;180;129;198;187;479;91;348;148;571;3,44E+11;4,867495;20443479000;50,15421682;18,10759141;32,04662541;;19,17481105;0,274810865;74,80852382;50,850553;1,86117451;8088068983;1,399583344;6082141450;7,44E+11;40153,61225;17,62175148;5,37E+11;28979,04628;24,91666532;24,09781538;99,72518914;18,90000018;1,233268969;12;63145770394;70,13313383;67974478981;80,34950561;29,63908934;18517000;1;7;5;79,97285268;6;38,07481123;84,636;112;1
1998;Australia;116;12;100;31;3;18;50;2;51;77;117;201;147;165;189;482;109;349;128;672;3,17E+11;4,74634;18320872400;49,97812969;18,21253579;31,76559391;;19,59557692;-0,879276718;75,18827676;51,32613774;1,904644606;7597610928;1,169881588;4666647575;7,78E+11;41555,94435;17,6146112;5,7E+11;30438,40522;25,69099995;25,20774634;100,8792767;20,47485364;1,272940947;12;56006131640;73,6673131;66851563414;79,40546203;30,2139033;18711000;1;7;5;73,25237326;6;40,07043056;84,503;108;1
1999;Australia;193;10;149;53;2;66;49;5;58;139;154;198;153;162;207;540;100;450;131;718;3,09E+11;4,78817;18003519200;49,81678988;18,3195711;31,49721878;;18,34389276;-2,446862891;76,23250196;51,94753767;0,568932377;2210917992;0,080123093;311364928;8,17E+11;43168,29246;18,00590511;6,01E+11;31742,04798;26,21436093;25,44308472;102,4468629;20,79075565;0,357060002;12;56244205813;72,97586426;71931851213;77,83059807;32,22731611;18926000;1;7;5;73,50772551;6;39,13464841;84,37;89;0
2000;Australia;258;7;234;39;7;137;59;9;133;140;109;182;147;158;217;429;124;431;150;678;3,26E+11;4,83;19464900000;49,71426642;18,45029593;31,26397049;;19,43465944;-2,159692298;75,85164839;52,91860313;3,586745269;14892978180;0,986222605;4095019475;8,49E+11;44334,39293;17,78709811;6,42E+11;33523,05122;26,3080439;25,99707483;102,1596923;21,59435174;2,57974147;12;63520815435;72,58203835;71574287690;75,28688003;32,60877152;19153000;1;7;5;70,4453555;6;41,02901118;84,235;90;6
2001;Australia;276;4;232;54;6;109;34;10;123;46;121;138;181;185;206;429;104;543;146;689;3E+11;4,844;17825920000;49,41451032;18,55026594;30,86424438;;22,22572071;0,086233062;76,43397923;52,41037721;2,832402344;10717133151;3,536383429;13380829229;8,66E+11;44585,19852;17,78315789;6,85E+11;35299,7991;23,47978771;23,2796646;99,91376694;22,13948765;4,620808972;12;63411559217;72,3212956;64425658235;74,31981571;33,63716801;19413000;1;7;5;67,56934848;6;44,36520836;84,1;100;1
2002;Australia;180;9;178;50;3;101;37;9;58;103;122;250;155;149;266;449;122;464;161;653;3,14E+11;4,858;18654720000;49,14673657;18,66708905;30,47964751;;20,7745942;-0,008087472;75,51497972;53,60446748;3,713762123;14656321801;1,767229013;6974350066;9E+11;45806,69447;17,54424576;7,34E+11;37338,30669;24,49310775;24,3658295;100,0080875;20,78268167;2,860394153;12;65222183412;72,12173565;73731415359;72,98364732;34,89760035;19651400;1;7;5;70,85816491;6;41,55727587;84,222;100;1
2003;Australia;104;3;119;23;4;65;33;6;48;20;96;340;259;267;489;506;95;537;126;740;3,72E+11;4,872;22070160000;48,913221;18,80310751;30,11011349;;19,0950859;-2,105972833;76,08956752;53,30162821;1,926147053;8985246030;3,986775734;18597832803;9,27E+11;46595,90092;17,59538554;7,78E+11;39123,66678;26,01628046;26,12015581;102,105848;21,20105873;3,113574517;12;70905108595;71,30590379;89818867667;71,19129119;34,18329717;19895400;1;7;5;79,37099295;6;40,29614463;84,343;110;2
2004;Australia;11;2;90;16;0;19;8;0;17;19;134;501;371;243;583;449;98;596;143;804;4,85E+11;4,886;29022840000;48,70896842;18,95382245;29,75514597;;17,2032858;-2,714162773;75,54210669;52,16389887;7,005444173;42907672820;1,597583829;9785047534;9,65E+11;47926,74866;17,49537477;8,36E+11;41558,37316;27,17193995;26,72492187;102,7140466;19,91744857;3,311041089;12;86165317154;67,88047225;1,1E+11;70,42459018;31,99217506;20127400;1;7;5;85,42180544;6;37,12073437;84,463;124;1
2005;Australia;28;1;81;10;1;38;35;1;26;30;133;572;520;234;631;562;114;680;150;834;5,36E+11;4,9;32683000000;48,55723254;19,12098563;29,43624691;;18,26510157;-2,740979497;75,18200377;50,1522905;-3,618814635;-25093141435;-4,717771585;-32713394187;9,96E+11;48813,88776;17,56158856;8,88E+11;43545,56063;27,55886731;27,10091709;102,7408711;21,00608107;3,797194004;12;1,05E+11;65,91241348;1,26E+11;68,47551713;33,36824506;20394800;1;7;5;87,967662;6;39,27118264;84,582;124;1
2006;Australia;21;2;82;21;2;122;38;0;25;34;127;497;366;291;565;610;130;737;162;910;5,7E+11;4,79;34296400000;48,18525523;19,15531705;29,02993818;;19,8939213;-1,816384493;74,21183626;48,4256712;4,09502424;30551100657;3,22798695;24082532470;1,02E+12;49443,22553;17,4798029;9,58E+11;46266,43283;27,60444788;27,87712132;101,8162841;21,71030579;5,092306597;12;1,22E+11;64,97060319;1,41E+11;66,12146416;35,21057816;20697900;1;7;5;87,2407649;6;41,60422709;84,7;122;1
2007;Australia;82;2;122;17;1;103;47;4;36;32;151;203;231;247;125;705;142;861;173;935;6,42E+11;4,66;37932400000;47,89079729;19,19907657;28,69172073;;20,20360889;-1,644221894;74,07281291;46,6620744;5,209249708;44440090038;1,690398334;14420781948;1,06E+12;51024,24113;17,34393651;1,04E+12;49843,81302;27,57140898;27,45949956;101,6442219;21,84783079;5,011631339;12;1,41E+11;63,92897165;1,67E+11;65,06194561;35,9505489;20827600;1;7;5;92,33582923;6;42,05143968;84,822;110;1
2008;Australia;31;0;115;30;1;105;47;0;16;37;170;217;232;249;169;718;155;861;185;1011;7,94E+11;4,6;46460000000;47,74597554;19,29376434;28,45221121;;20,16167323;-2,546986231;73,88256139;43,92403963;4,28465048;45160024271;3,025408811;31887673441;1,1E+12;51841,27303;17,2426534;1,13E+12;53139,88291;28,66459472;28,2671643;102,5471561;22,70865946;4,525577913;12;1,86E+11;63,97845794;2,02E+11;63,69337068;36,76770833;21249200;1;7;5;90,37569558;6;42,8703327;84,943;109;2
2009;Australia;15;3;92;47;2;113;53;0;17;36;206;272;270;306;176;846;169;1024;190;1114;7,15E+11;4,8;42912000000;47,77266022;19,48479413;28,28786609;;23,00481294;0,211721667;72,3922247;49,23485522;3,091518205;28683266148;1,235587422;11463844142;1,12E+12;51767,37784;17,591547;1,22E+12;56056,00299;27,39605363;27,63023303;99,78827833;22,79309127;5,001877869;12;1,54E+11;56,37599559;1,69E+11;58,88518515;34,46865848;21691700;1;7;5;87,59602847;6;45,79790421;85,063;161;0
2010;Australia;17;3;90;21;0;101;21;0;19;23;206;240;268;285;169;855;155;1154;234;1203;8,81E+11;5,08;55880000000;47,94845437;19,79040532;28,15804905;;19,81000775;-1,02965622;74,17836154;47,95826651;3,072118666;35210733743;1,576474491;18068580538;1,15E+12;52022,1256;17,99900247;1,25E+12;56766,34857;26,85114098;27,09491389;101,0295025;20,83966397;1,167233496;12;2,12E+11;53,95503702;2,05E+11;57,29972923;36,1451092;22031750;1;7;5;100;6;40,64967173;85,182;140;0
2011;Australia;91;1;172;43;0;200;39;8;60;74;234;341;315;384;243;955;190;1368;247;1149;1,07E+12;4,85;64990000000;48,51375386;20,24288155;28,27087231;;21,43641705;0,966101049;72,52654554;46,91188007;4,693723914;65554890650;0,590744997;8250639449;1,17E+12;52567,77724;17,8107498;1,36E+12;60866,45207;26,50721223;26,05592741;99,03375777;20,47031601;6,252729416;12;2,71E+11;52,78968581;2,49E+11;58,15875739;36,90502521;22340024;1;7;5;106,9660159;6;41,90673306;85,3;152;0
2012;Australia;34;3;93;25;0;170;32;4;22;42;255;383;350;377;274;1166;212;1446;225;1179;1,2E+12;5,05;75750000000;49,06719336;20,7654893;28,30170406;;21,48082841;-0,24868986;72,50606553;45,71700914;3,722171874;57550426823;0,372773824;5763649125;1,22E+12;53682,04722;17,98623236;1,45E+12;63952,1516;27,74255764;27,42964458;100,2486232;21,72951827;1,856527887;12;2,58E+11;51,7659247;2,66E+11;57,83498964;33,47763172;22733465;1;7;5;109,0219818;6;43,21034667;85,402;171;0
2013;Australia;14;3;80;25;1;121;40;0;12;37;305;449;451;477;348;1248;227;1846;312;1452;1,22E+12;4,945023954;75658866496;49,64057799;21,32775898;28,31281901;;19,95616761;-1,296095116;73,40023836;44,50672424;3,42582358;53997299140;-0,048833474;-769705628;1,25E+12;54129,93905;17,84037956;1,5E+12;64773,67884;27,89579166;27,85875479;101,29603;21,25226273;-0,12417731;12;2,54E+11;46,2717305;2,47E+11;56,32328146;31,41263033;23128129;1;7;5;103,4508748;6;41,20843035;85,502;219;2
2014;Australia;20;12;87;15;1;155;35;0;16;19;367;502;510;524;344;1451;285;1931;294;1507;1,13E+12;4,840047908;69212685084;50,25970006;21,8858011;28,37389896;;21,039455;-0,427580339;73,68194529;38,94657936;4,306383954;63195482812;1,537726037;22565879021;1,28E+12;54679,42018;17,69738447;1,56E+12;66311,16126;26,74563505;26,88432497;100,4275803;21,46703534;1,479572334;12;2,41E+11;47,72224912;2,41E+11;54,87252256;32,50053124;23475686;1;7;5;98,32265276;6;42,50649034;85,602;272;1
2015;Australia;8;2;86;16;0;171;29;0;13;53;393;638;684;586;420;1631;330;2346;361;1564;1,05E+12;5,025693972;66339160430;50,92505621;22,41932738;28,50572883;;19,98484551;-1,52468206;75,25398544;35,51655402;3,469188226;46892808568;0,610996957;8258809107;1,31E+12;55079,89212;18,0607423;1,59E+12;66820,30291;26,27069662;26,20446497;101,5246821;21,50952757;-0,549652212;12;1,88E+11;48,09647983;2,13E+11;54,14567;29,3360039;23815995;1;7;5;89,83604596;6;41,49437308;85,701;332;4
2016;Australia;17;4;84;11;3;173;21;0;16;25;428;674;723;565;446;1684;362;2585;350;1716;9,35E+11;5,025693972;59303188869;51,72993235;22,97360952;28,75632284;;19,25105708;-2,275527273;76,9034885;34,95075077;3,555512757;42980709072;-0,250243607;-3025062318;1,35E+12;55728,68446;18,65685482;1,62E+12;67025,96972;25,37197856;25,30345382;102,2754671;21,52658435;-0,533004697;12;1,91E+11;48,50224715;2,01E+11;54,1935077;32,15303525;24190907;1;7;5;90,90352416;6;40,77764142;85,8;309;2
2017;Australia;21;0;38;8;4;172;10;3;12;22;563;731;848;600;507;1958;405;2720;412;1684;1,02E+12;5,025693972;64831452239;52,5996706;23,50648633;29,09318427;;21,19320015;0,61640018;75,31280707;34,41175825;3,574155963;47541126472;0,626482009;8333061212;1,38E+12;56095,18632;18,60058845;1,72E+12;69737,77592;24,07073605;23,95551894;99,38354312;20,57679997;3,740729484;12;2,29E+11;46,58769998;2,28E+11;51,57167641;34,57120806;24601860;1;7;5;93,67592197;6;41,77000012;85,904;369;9
1980;Austria;40;11;4;0;0;0;0;1;6;1;1;0;12;4;13;32;10;14;14;21;69329472982;4,3;3532329694;55,56106643;23,63813572;31,9229307;2083,984375;31,69307175;-3,438862555;73,98808047;28,79200268;0,291619756;239300000;0,291619756;239300000;2,08E+11;27595,83511;17,53414482;77234799500;10230,54308;28,78083107;27,29968007;102,7689115;35,1319343;5,580629109;10;17482200000;77,40558969;24433300000;81,28373981;51,10109157;7549433;3;4;6;97,82465419;8;66,82500605;65,391;0;0
1981;Austria;26;2;1;5;0;0;0;0;2;8;0;0;7;11;10;35;8;12;16;34;59590762990;4,8;3405770567;53,95231628;23,19856786;30,75374842;2080,697224;33,00066162;-2,395227059;75,42296422;30,5476498;0,461073498;327520000;0,461073498;327520000;2,08E+11;27485,83251;17,96470449;82121642800;10850,15053;26,92647655;27,2090247;102,3494408;35,39588868;6,716667589;10;15832300000;75,52471846;21029300000;80,46582625;51,92426382;7568710;3;4;6;94,62804294;8;68,3965503;65,364;0;0
1982;Austria;64;0;2;5;0;0;0;0;2;0;4;0;12;7;14;33;11;20;16;31;59864007926;4,9;3493625842;52,13577718;22,53534621;29,60043097;2124,169381;31,74149643;-0,634121058;75,99625994;32,07858376;0,291714012;207920000;0,291714012;207920000;2,12E+11;28018,54125;18,34667771;88388733800;11669,8046;24,58013056;24,54431944;100,5763905;32,37561749;5,355289932;10;15633600000;75,65627878;19490100000;81,20635605;49,30741259;7574140;3;4;6;95,89672361;8;64,11711392;65,1;0;0
1983;Austria;45;2;10;2;0;0;0;0;4;2;4;0;17;5;18;49;7;10;23;38;60837803019;4,8;3470486973;50,32339197;21,80432758;28,51906438;2265,879083;30,47819882;-1,515787342;77,21520745;33,51142731;0,299662997;216120000;0,299662997;216120000;2,19E+11;28898,21922;18,34632167;94382785300;12481,34206;23,04242347;23,67985529;100,2576309;31,99398616;3,472783881;10;15423300000;76,19899762;19402100000;82,39572005;48,32155956;7561910;3;4;6;95,90504049;8;62,47218499;64,836;0;0
1984;Austria;27;4;3;5;0;0;0;0;4;2;5;3;13;10;12;19;8;30;24;45;57291565976;4,8;3268307380;48,77362736;21,21210213;27,56152522;2256,470588;32,75101762;-1,072970794;76,16386881;34,71462188;0,169507119;115240000;0,169507119;115240000;2,19E+11;28914,85696;18,38873122;99009286700;13093,98279;23,77499106;23,18260307;99,93885987;33,82398841;4,949773203;10;15738100000;76,80406148;19651100000;80,48200864;52,0229763;7561434;3;4;6;96,75916675;8;66,57500604;64,57;0;0
1985;Austria;56;3;5;2;0;0;0;0;0;1;3;1;11;10;26;24;16;38;12;40;58597281612;4,9;3405964418;47,61352459;20,86701312;26,74651146;2251,79558;34,92132141;-0,240518653;76,26740948;35,84289314;0,243804294;169167935;0,243804294;169167935;2,24E+11;29623,43452;18,57784398;1,05E+11;13815,55297;24,44925795;23,8116058;100,7166674;35,16184006;2,962995492;10;17231000000;78,05640996;20967300000;80,65463841;55,08974915;7564985;3;4;6;96,42146183;8;70,08316148;64,305;1;0
1986;Austria;35;1;2;19;0;0;0;0;0;4;26;0;33;11;34;24;12;20;26;69;83441192455;5,1;5044715991;47,11146455;20,8697964;26,24166815;2265,879083;31,99771471;-0,019167801;75,68143317;36,96120318;0,185185793;183400908;0,185185793;183400908;2,29E+11;30285,93358;18,78543842;1,1E+11;14498,05659;23,73376091;23,60310904;99,41519408;32,01688251;2,950997634;10;22473100000;81,52457827;26822900000;85,26035589;49,85148597;7569794;3;4;6;100,6363162;8;64,01459721;64,037;1;0
1987;Austria;52;1;0;4;0;2;0;0;2;1;11;1;5;4;19;21;18;24;22;50;1,04E+11;5;6200000000;46,78798703;21,06779515;25,72019188;2265,879083;31,40620488;-0,041312969;75,5363198;38,04950996;0,318512006;395491398;0,318512006;395491398;2,32E+11;30677,5444;18,75208221;1,14E+11;15045,93479;24,05756495;24,1693695;99,59388475;31,44751785;2,436948227;10;27167500000;83,27339652;32720100000;86,82125055;48,2344778;7574586;3;4;6;103,3744072;8;62,85372273;63,769;0;0
1988;Austria;67;0;4;3;0;0;0;5;3;2;4;1;14;13;19;53;9;35;24;53;1,13E+11;4,8;6432000000;46,63642428;21,37966658;25,25675771;2410,452675;33,0709262;-0,420697935;74,7861944;39,1876446;0,33405512;445427084;0,33405512;445427084;2,4E+11;31643,80938;18,51350558;1,2E+11;15816,79478;25,6041954;24,91529518;100,3903898;33,49162414;1,526854863;10;31034458764;83,18790394;36561594606;87,26530264;50,4352063;7585317;3;4;6;103,0615206;8;66,56255034;63,5;1;0
1989;Austria;59;2;1;2;0;0;0;0;2;11;10;3;12;9;32;44;9;52;23;61;1,13E+11;4,7;6298000000;46,62798059;21,67996721;24,94801339;2408,800548;35,01520274;-0,507953305;74,13334832;40,36668101;0,437230957;581979789;0,437230957;581979789;2,49E+11;32726,05985;18,18598607;1,28E+11;16859,65382;26,47053077;25,17067409;100,6038791;35,52315605;2,964760929;10;32446519954;84,12505662;38901609327;86,65156313;53,25537793;7619567;3;4;6;101,8118965;8;70,53835879;63,231;3;0
1990;Austria;65;2;5;9;0;0;0;0;7;3;10;2;17;17;33;66;7;55;29;67;1,41E+11;4,6;7682000000;46,73898772;21,89561527;24,84337245;2373,646564;35,69741465;-0,093540181;73,85555673;41,72944436;0,392278454;653000000;0,392278454;653000000;2,6E+11;33888,99603;17,9756736;1,38E+11;17996,39645;26,68930827;25,36761759;100,544865;35,79095483;2,999680444;10;41389767170;84,73959164;49287236623;86,75909082;54,31284429;7677850;3;4;6;103,625841;8;71,48836948;62,96;5;0
1991;Austria;28;2;7;3;0;0;0;0;2;0;7;10;15;16;41;56;10;52;30;82;1,47E+11;4,8;8352000000;47,1297718;22,18767117;24,94210063;2352,941176;34,59048808;-0,867429731;73,54621954;43,02467057;0,207141577;360000000;0,207141577;360000000;2,69E+11;34707,07169;18,15779592;1,47E+11;19001,37445;26,8975447;26,44243813;100,4437642;35,45791781;3,641871417;10;41114658555;85,5218198;50826632762;86,88900053;52,89360162;7754891;3;4;6;101,5841558;8;70,04840589;62,689;7;0
1992;Austria;76;5;4;3;0;0;1;0;7;8;12;21;42;26;70;75;6;65;29;86;1,65E+11;4,7;9212000000;47,70689765;22,41194856;25,29494909;2374,651811;33,15526766;-1,319632151;74,57482485;44,26666656;0,761499204;1485518380;0,761499204;1485518380;2,75E+11;35045,84476;18,48991192;1,56E+11;19918,43282;26,20273669;26,03097159;100,7775615;34,47489981;3,479093141;10;44405409957;85,36189796;54164480197;86,93723838;50,56897042;7840709;3;4;6;103,4025136;8;67,63016747;62,417;16;1
