Year;Country;G01N;G05B;G06F;G06K;G06N;G06Q;G06T;G10L;H04L;H04N;Automation_and_Control_Systems;Computer Science_Artificial_Intelligence;Computer Science_Information_Systems;Computer Science_Interdisciplinary_Applications;Computer Science_Theory_and_Methods;Engineering_Electrical_and_Electronic;Engineering_Multidisciplinary;Environmental_Sciences;Instruments_and_Instrumentation;Neurosciences;Adjusted_net_national_income_(current_US$);Adjusted_savings_education_expenditure_(%_of_GNI);Adjusted_savings_education_expenditure_(current_US$);Age_dependency_ratio_(%_of_working_age_population);Age_dependency_ratio_old_(%_of_working_age_population);Age_dependency_ratio_young_(%_of_working_age_population);Agricultural_machinery_tractors_per_100_sq_km_of_arable_land;Exports_of_goods_and_services_(%_of_GDP);External_balance_on_goods_and_services_(%_of_GDP);Final_consumption_expenditure_(%_of_GDP);Fixed_telephone_subscriptions_(per_100_people);Foreign_direct_investment_net_inflows_(%_of_GDP);Foreign_direct_investment_net_inflows_(BoP_current_US$);Foreign_direct_investment_net_outflows_(%_of_GDP);Foreign_direct_investment_net_outflows_(BoP_current_US$);GDP_(constant_2010_US$);GDP_per_capita_(constant_2010_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_LCU);GNI_per_capita_(current_LCU);Gross_capital_formation_(%_of_GDP);Gross_fixed_capital_formation_(%_of_GDP);Gross_national_expenditure_(%_of_GDP);Imports_of_goods_and_services_(%_of_GDP);Inflation_GDP_deflator_(annual_%);Lower_secondary_school_starting_age_(years);Merchandise_exports_by_the_reporting_economy_(current_US$);Merchandise_exports_to_high_income_economies_(%_of_total_merchandise_exports);Merchandise_imports_by_the_reporting_economy_(current_US$);Merchandise_imports_from_high_income_economies_(%_of_total_merchandise_imports);Merchandise_trade_(%_of_GDP);Population_total;Preprimary_education_duration_(years);Primary_education_duration_(years);Primary_school_starting_age_(years);Real_effective_exchange_rate_index_(2010_100);Secondary_education_duration_(years);Trade_(%_of_GDP);Urban_population_(%_of_total_population);AI_publications;AI_patents
1990;Canada;111;5;36;2;0;3;7;4;17;39;100;63;115;197;223;727;134;558;238;910;4,73E+11;5,8;33176000000;46,94;16,53;30,41;164,82;25,16;0,15;78,74;55,54;1,41;8401707941;1,02;6050385362;9,33E+11;33708,85;22,7;6,7E+11;24212,62;21,38;21,78;100,12;25,01;3,41;12;1,26E+11;93,31;1,32E+11;89,23;42,24;27691138;2;6;6;103,71;6;50,18;76,58;31;0
1991;Canada;74;5;47;9;4;2;6;0;22;22;91;57;102;180;223;800;108;551;177;966;4,91E+11;6,1;35990000000;47,21;16,81;30,4;161,1;24,44;-0,52;81,59;56,71;0,58;3514220103;1,06;6476544255;9,14E+11;32598,02;24,1;6,79E+11;24200,37;19,41;20,34;101;24,96;3,05;12;1,26E+11;93,17;1,32E+11;88,12;41,28;28037420;2;6;6;106,64;6;49,4;76,62;57;1
1992;Canada;74;8;25;9;0;2;2;2;11;32;93;110;159;189;262;892;111;641;171;1112;4,72E+11;6,6;37686000000;47,48;17,05;30,43;160,22;26,29;-0,34;82,42;57,56;1,18;7018240063;0,98;5788261953;9,22E+11;32504,45;24,53;6,93E+11;24414,92;18,44;19,45;100,86;26,63;1,48;12;1,33E+11;93,32;1,37E+11;87,7;44,51;28371264;2;6;6;97,8;6;52,92;76,89;109;2
1993;Canada;67;1;67;4;0;2;2;3;25;42;88;121;172;222;202;907;123;627;217;1080;4,61E+11;6,7;37319000000;47,7;17,27;30,43;159,16;29,24;0,03;81,8;58,56;0,72;4178460317;0,89;5141014995;9,47E+11;33004,65;23,96;7,22E+11;25157,82;18,54;18,72;100,34;29,2;1,3;12;1,41E+11;95,18;1,48E+11;86,59;49,24;28684764;2;6;6;91,43;6;58,44;77,15;108;2
1994;Canada;97;1;57;12;0;3;6;1;34;31;127;119;215;227;204;1040;135;713;258;1151;4,62E+11;7,1;39547000000;47,81;17,47;30,33;158,09;32,88;1,18;79,51;59,77;1,65;9541029102;1,84;10620671983;9,89E+11;34112,36;22,75;7,64E+11;26330,64;19,58;19,45;99,09;31,71;1,47;12;1,61E+11;95,14;1,67E+11;86,53;55,43;29000663;2;6;6;83,52;6;64,59;77,41;105;2
1995;Canada;64;9;72;14;1;4;5;4;39;38;115;166;146;218;238;1079;117;874;222;1115;4,85E+11;6,7;39061000000;47,78;17,67;30,11;157,02;36,21;3,14;77,73;60,23;2,26;13657593613;2,62;15828489189;1,02E+12;34670,71;21,73;8,03E+11;27403,06;19,44;18,41;97,17;33,07;2,24;12;1,9E+11;94,37;1,8E+11;88,54;59,7;29302311;2;6;6;80,8;6;69,28;77,68;129;3
1996;Canada;48;2;74;8;1;3;15;4;39;27;145;176;144;221;228;1025;132;830;231;1406;5,02E+11;6,91;41993965984;47,78;17,85;29,94;156,24;37,22;3,95;77,44;61,02;1,4;8817677647;1,96;12289429362;1,03E+12;34865,72;20,83;8,31E+11;28073,62;18,99;18,87;96,43;33,27;1,74;12;2E+11;94,77;1,87E+11;87,97;59,95;29610218;2;6;6;81,67;6;70,49;77,95;135;1
1997;Canada;101;1;131;9;5;13;4;5;115;38;147;197;165;226;241;936;124;887;207;1373;5,24E+11;6,91;43720691559;47,59;18,01;29,58;156,8;38,26;1,94;76,98;62,74;2,33;15182400422;4,09;26728689666;1,08E+12;35998,46;19,92;8,79E+11;29385,22;21,29;20,37;98,27;36,32;1,14;12;2,13E+11;95,25;2,15E+11;88,14;63,62;29905948;2;6;6;80,89;6;74,58;78,34;159;4
1998;Canada;123;5;181;17;1;25;9;15;159;46;154;179;219;230;267;930;155;902;192;1347;5,05E+11;5,49;33470286482;47,25;18,16;29,09;157,44;40,17;1,98;77,19;64,27;3,95;24979208298;5,75;36348693780;1,11E+12;36699,33;19,91;9,09E+11;30140,87;21,12;20,63;98,3;38,18;0,87;12;2,11E+11;96,41;2,19E+11;88,14;66,54;30155173;1;6;6;76,18;6;78,35;78,72;159;2
1999;Canada;101;11;159;19;2;56;18;4;163;46;146;205;174;253;280;991;146;855;228;1479;5,42E+11;5,51;35959627520;46,86;18,29;28,57;158,29;42,01;3,62;75,83;67,26;4,06;27456044687;2,95;19929576160;1,15E+12;37847,58;19,39;9,74E+11;32038,18;20,76;20,26;96,58;38,39;3,07;12;2,37E+11;96,69;2,36E+11;87,66;67,84;30401286;1;6;6;75,26;6;80,39;79,1;153;4
2000;Canada;138;8;259;19;1;194;38;3;327;65;144;278;225;238;359;885;132;886;184;1492;5,97E+11;5,38;38925418603;46,47;18,4;28,07;159,14;44,36;5,67;73,89;68,13;9,2;68303350856;6,28;46650311862;1,21E+12;39340,75;19,17;1,08E+12;35099,38;20,68;19,66;94,57;38,68;4,6;12;2,75E+11;96,44;2,53E+11;86,3;70,24;30685730;1;6;6;75,63;6;83,04;79,48;178;2
2001;Canada;138;10;336;14;1;127;25;9;268;74;145;253;250;247;331;837;116;909;169;1382;5,88E+11;5,05;36158000000;46,01;18,5;27,5;159,66;42,19;5,76;74,87;68,41;3,86;28391098831;5;36831862714;1,22E+12;39462,65;19,58;1,11E+12;35856,98;19,74;20,22;94,61;36,43;2,02;12;2,61E+11;96,26;2,35E+11;85,58;66,15;31020902;1;6;6;73,4;6;78,62;79,81;175;3
2002;Canada;108;6;359;26;2;102;25;20;183;39;145;361;253;261;420;1001;127;914;194;1440;6,13E+11;4,98;36791997320;45,59;18,59;27;160,23;40,2;4,43;76,06;66,14;3,23;24486425377;3,86;29235654655;1,27E+12;40371,71;19,85;1,16E+12;37100,99;19,81;20,05;95,87;35,78;0,84;12;2,52E+11;96,36;2,35E+11;84,59;63,31;31360079;1;6;6;72,76;6;75,98;79,89;175;2
2003;Canada;111;18;482;15;4;103;27;4;161;52;185;468;396;392;731;1126;114;1077;234;1520;7,23E+11;4,87;42389992484;45,21;18,68;26,53;160,79;37;3,91;75,84;65,46;0,79;7011792709;2,63;23429360705;1,31E+12;41534,24;19,97;1,22E+12;38676,59;20,54;20,08;96,38;33,09;1,26;12;2,72E+11;96,02;2,54E+11;83,09;58,02;31644028;1;6;6;80,95;6;70,09;79,97;187;4
2004;Canada;148;6;205;11;4;87;20;14;202;36;181;532;473;391;832;1381;148;1090;219;1533;8,29E+11;4,77;47662064646;44,83;18,79;26,04;161,37;37,46;4,48;74,39;64,63;0,14;1452416545;4,38;44822996248;1,37E+12;42759,08;19,48;1,31E+12;40917,79;21,46;20,95;95,84;32,98;2,46;12;3,16E+11;95,24;2,88E+11;81,08;58,32;31940655;1;6;6;85,44;6;70,43;80,05;216;3
2005;Canada;105;10;144;16;3;76;8;11;175;56;248;689;577;398;983;1577;161;1146;316;1639;9,53E+11;4,66;53590000000;44,5;18,95;25,54;161,94;36,97;3,97;73,62;56,42;2,19;25552226941;2,33;27279616280;1,43E+12;44473,24;19,14;1,39E+12;43187,37;22,7;21,91;96,32;33,01;1,38;12;3,61E+11;94,75;3,34E+11;79,25;58,4;32243753;1;6;6;90,54;6;69,98;80,12;218;4
2006;Canada;103;4;214;5;2;119;13;10;185;41;245;622;537;541;865;1734;156;1327;302;1741;1,07E+12;4,63;59662500000;44,24;19,14;25,1;162,52;35,51;2,76;73,88;56,05;4,89;64302303097;3,83;50352280680;1,49E+12;45860,22;19,31;1,47E+12;45217,53;23,66;22,95;97,55;32,75;1,09;12;3,88E+11;93,83;3,71E+11;77,6;56,8;32571174;1;6;6;95,53;6;68,25;80,21;231;1
2007;Canada;79;5;177;24;3;122;14;2;129;34;271;324;437;390;321;1878;180;1474;398;1795;1,19E+12;4,59;66096000000;44,03;19,35;24,68;;34,32;2,18;74,17;55,52;8,22;1,2E+11;4,45;65141277328;1,6E+12;48536,53;19,3;1,55E+12;47263,12;23,97;23,4;98,14;32,14;-1,33;12;4,2E+11;92,8;4,03E+11;76,52;55,35;32889025;1;6;6;98,59;6;66,46;80,4;214;0
2008;Canada;83;5;136;14;16;94;10;5;71;38;250;354;442;514;320;1999;180;1657;358;1852;1,25E+12;4,38;67014000000;43,93;19,62;24,31;;34,48;1,77;74,37;54,74;4,53;70119614333;5,73;88688588802;1,61E+12;48497,56;19,77;1,63E+12;49107,87;24,13;23,53;98,5;32,71;4;12;4,56E+11;91,71;4,33E+11;75,18;56,51;33247118;1;6;6;95,99;6;67,19;80,58;243;2
2009;Canada;59;5;127;7;4;105;6;1;64;47;289;395;506;497;377;2121;188;1645;325;1862;1,11E+12;4,58;61830000000;43,98;19,97;24,01;;28,59;-1,45;79,74;55,44;1,53;20951090410;2,75;37739086506;1,57E+12;46542,9;22,02;1,54E+12;45921,16;22,02;22,36;101,75;30,03;-2,32;12;3,16E+11;90,38;3,41E+11;73,65;47,11;33628895;1;6;6;91,58;6;58,62;80,76;242;2
2010;Canada;51;4;168;11;0;89;10;1;71;35;270;403;513;525;308;2092;233;1746;356;2028;1,31E+12;5;79000000000;44,18;20,41;23,77;;29,24;-1,88;78,66;53,87;1,84;29714744325;2,25;36341411460;1,61E+12;47450,32;21,53;1,63E+12;48026,04;23,54;23,52;102,2;31,11;2,87;12;3,88E+11;90,39;4,16E+11;71,82;48,97;34004889;1;6;6;100;6;60,35;80,94;271;2
2011;Canada;35;8;111;6;2;91;6;1;54;37;297;398;533;560;343;2144;236;2044;437;1992;1,45E+12;4,93;86275000000;44,65;20,9;23,74;;30,75;-1,14;77,23;52,91;2,14;38338330427;2,8;50094723738;1,66E+12;48466,85;21,2;1,74E+12;50686,9;24,21;23,57;101,44;31,89;3,24;12;4,51E+11;89,85;4,79E+11;71;51,14;34339328;1;6;6;101,56;6;62,64;81,1;262;0
2012;Canada;56;10;115;7;3;106;9;4;62;25;296;494;566;611;401;2247;233;2005;371;1967;1,48E+12;4,93;88247000000;45,14;21,49;23,65;;30,43;-1,89;77,26;50,76;2,71;49368985104;3,41;62248451890;1,69E+12;48788,33;21,11;1,79E+12;51701,55;24,93;24,55;102,19;32,32;1,2;12;4,55E+11;89,63;4,9E+11;71,08;51,09;34714222;1;6;6;101,07;6;62,75;81,14;271;4
2013;Canada;56;4;97;8;4;123;6;10;53;32;384;474;688;561;400;2377;264;2157;414;2256;1,5E+12;4,93;89233000000;45,71;22,15;23,56;;30,41;-1,57;76,86;47,94;3,64;67027866778;2,96;54464630765;1,73E+12;49400,46;20,76;1,87E+12;53395,59;24,97;24,25;101,83;31,98;1,73;12;4,58E+11;89,78;4,89E+11;72,43;50,71;35082954;1;6;6;97,48;6;62,39;81,18;286;2
2014;Canada;30;7;85;15;0;115;10;4;47;34;384;507;727;611;439;2405;249;2315;406;2283;1,46E+12;4,93;87261000000;46,38;22,87;23,51;;31,81;-0,91;76,24;45,99;3,56;64174605786;3,61;64979797474;1,78E+12;50309,16;20,31;1,96E+12;55383,89;24,93;24,45;101,17;32,72;1,96;12;4,75E+11;90,69;4,89E+11;73,55;52,77;35437435;1;6;6;91,48;6;64,53;81,22;294;2
2015;Canada;43;4;95;10;5;111;5;2;43;25;394;520;796;670;444;2586;358;2506;486;2437;1,26E+12;4,93;75429000000;47,16;23,62;23,53;;31,92;-2,47;78,87;43,34;3,86;59986208237;5,4;83913840952;1,8E+12;50279,59;20,93;1,96E+12;54896,06;23,88;23,91;102,75;34,39;-0,9;12;4,08E+11;90,02;4,45E+11;72,73;54,05;35702908;1;6;6;83,12;6;66,32;81,26;282;4
2016;Canada;53;2;83;10;5;93;7;2;44;45;466;676;874;688;459;2791;368;2749;532;2446;1,24E+12;4,93;74443000000;47,83;24,32;23,5;;31,53;-2,36;79,6;41,66;2,24;34201872161;4,43;67605967673;1,82E+12;50263,83;21,07;2E+12;55408,93;22,78;22,79;102,38;33,89;0,8;12;3,9E+11;90,02;4,27E+11;72,29;52,61;36109487;1;6;6;81,52;6;65,42;81,3;377;5
2017;Canada;32;7;29;8;4;43;4;5;19;8;571;628;908;715;402;2922;412;2852;555;2490;1,34E+12;4,93;80359000000;48,62;25,03;23,59;;31,46;-2,22;78,81;39,39;1,77;29109803320;4,88;80391606469;1,87E+12;51150,75;20,78;2,12E+12;57915,12;23,57;22,77;102,38;33,68;2,56;12;4,19E+11;90,04;4,57E+11;71,79;52,4;36540268;1;6;6;82,74;6;65,14;81,35;431;5
1980;China;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;29;2;2;14;2;1,51E+11;1,7;3247000000;68,38;7,87;60,51;77,76;5,91;-0,6;64,67;0,21;0,03;57000000;0,03;57000000;3,41E+11;347,12;13,73;4,59E+11;467,53;35,38;29,34;100,05;6,51;3,78;12;18139200000;73,34;19505000000;79,47;19,9;981235000;4;5;7;269,73;6;12,42;19,36;0;0
1981;China;0;0;0;0;0;0;0;0;0;0;4;0;1;3;4;46;7;5;18;9;1,55E+11;1,7;3332000000;65,6;7,99;57,61;82,33;7,45;0;66,4;0,22;0,14;265000000;0,14;265000000;3,58E+11;360,43;13,16;4,93E+11;496,41;33,69;28;100,09;7,45;2,3;12;21473600000;75,43;21630500000;81,14;22,48;993885000;4;5;7;242,09;6;14,9;20,12;0;0
1982;China;0;0;0;0;0;0;0;0;0;0;10;1;1;9;8;62;9;8;17;6;1,66E+11;1,8;3690000000;63,01;8,1;54,92;80,42;11,02;2,35;66,54;0,23;0,21;430000000;0,02;44000000;3,9E+11;386,89;13,18;5,38E+11;533,44;32,75;29,01;99,29;8,67;-0,06;12;21863100000;73,45;18915500000;77,08;20,29;1008630000;4;5;7;230,95;6;19,69;20,9;0;0
1983;China;0;0;0;0;0;0;0;0;0;0;6;2;7;4;11;74;17;16;22;13;1,93E+11;1,8;4176000000;60,58;8,18;52,4;79,02;9,52;1,11;67,42;0,24;0,28;636000000;0,04;93000000;4,33E+11;422,66;13,93;6,04E+11;590,61;32,69;28,94;100,12;8,4;1,1;12;22093400000;74,33;21306400000;77,91;18,91;1023310000;4;5;7;227,01;6;17,92;21,55;0;0
1984;China;1;0;0;0;0;0;0;0;0;0;12;3;3;11;8;65;23;21;24;9;2,21E+11;1,7;4437000000;58,33;8,25;50,08;75,62;9,53;0,02;65,73;0,26;0,48;1258000000;0,05;134000000;4,98E+11;480,3;15,04;7,31E+11;705,44;35,17;30,12;100,91;9,51;4,99;12;24821700000;76,16;25953400000;82,12;20,6;1036825000;4;5;7;202,34;6;19,03;22,2;0;0
1985;China;291;41;172;34;0;0;1;0;27;139;6;1;2;15;14;122;21;19;35;21;2,64E+11;1,7;5270000000;56,36;8,3;48,06;71,72;8,34;-4,04;65,04;0,29;0,54;1659000000;0,2;629000000;5,65E+11;537,5;14,18;9,12E+11;868,06;39,89;31,26;104,93;12,38;10,2;12;27328400000;78,31;42480200000;83,23;22,49;1051040000;4;5;7;171,75;6;20,71;22,87;1;0
1986;China;280;38;72;13;0;0;0;0;11;66;16;3;9;10;28;97;29;27;36;23;2,62E+11;1,8;5418000000;55,11;8,36;46,74;72,74;8,71;-2,46;64,83;0,32;0,62;1875000000;0,15;450000000;6,15E+11;576,91;13,81;1,04E+12;972,58;38,57;31,8;103,4;11,17;4,68;12;31367300000;78,64;43275400000;82,98;24,55;1066790000;4;5;7;124,08;6;19,88;23,56;0;0
1987;China;330;28;92;8;0;0;1;0;14;58;35;7;12;31;24;165;35;33;80;27;2,36E+11;1,6;4368000000;54,12;8,4;45,71;74,14;12,48;0,11;62,74;0,35;0,85;2314000000;0,24;645000000;6,87E+11;634,09;13,07;1,22E+12;1122,34;38,15;31,39;100,89;12,38;5,05;12;39462000000;78,64;43222700000;84,07;30,28;1084035000;4;5;7;107,18;6;24,86;24,26;0;2
1988;China;397;35;108;18;0;0;0;3;10;118;58;10;10;45;50;209;35;53;57;29;2,73E+11;1,6;4992000000;53,36;8,44;44,93;72,86;14,38;-1,3;62,07;0,42;1,02;3194000000;0,27;850000000;7,65E+11;694,06;12,46;1,52E+12;1377,45;39,92;31,9;102;15,68;12,1;12;47660000000;80,9;55352100000;80,71;32,91;1101630000;4;5;7;117,17;6;30,06;24,97;2;1
1989;China;351;40;112;25;0;0;0;0;12;100;48;5;6;49;43;257;36;49;100;49;3,01E+11;1,6;5568000000;52,71;8,49;44,22;70,22;11,84;-1,42;64,22;0,49;0,98;3393000000;0,22;780000000;7,97E+11;712,12;13,13;1,72E+12;1536,53;37,9;26,3;102,13;13,26;8,62;12;52907869083;83,35;59140917000;79,06;32,11;1118650000;4;5;7;136,31;6;25,11;25,7;4;3
1990;China;427;26;126;14;0;0;1;0;20;150;39;5;16;54;73;252;44;57;103;64;3,08E+11;1,79;6465969790;52,02;8,56;43,46;66,57;13,61;2,96;63,59;0,58;0,97;3487000000;0,23;830000000;8,28E+11;729,16;13,6;1,89E+12;1666,98;34,73;24,56;98,32;10,66;5,72;12;62755874524;84,6;53809654118;84,51;31,99;1135185000;4;5;7;100,54;6;24,27;26,44;9;1
1991;China;462;15;179;35;0;0;1;1;15;186;52;14;30;50;59;256;50;89;119;65;3,34E+11;1,79;6858929280;52,08;8,66;43,42;63,72;14,49;3,03;61,87;0,71;1,14;4366000000;0,24;913000000;9,05E+11;786,13;13,95;2,21E+12;1916,12;35,87;26,33;97,73;11,46;6,68;12;71962490361;87,9;63876832359;86,89;35,4;1150780000;4;5;7;88,31;6;25,95;27,31;18;6
1992;China;560;35;242;70;0;1;0;1;24;194;34;24;90;114;95;289;72;89;116;76;3,76E+11;1,5;6405000000;51,5;8,77;42,73;62,7;15,66;1,17;59,66;0,95;2,61;11156000000;0,94;4000000000;1,03E+12;886,95;14,39;2,72E+12;2335,53;39,84;31,11;99,5;14,49;8,2;12;85616912557;86,77;81871519155;84,76;38,77;1164970000;4;5;7;84,55;6;30,15;28,2;53;4
1993;China;531;63;340;61;0;0;2;0;44;222;34;36;19;74;71;326;57;89;188;67;3,87E+11;1,5;6660000000;50,63;8,89;41,74;60,54;16,7;-2,65;58,3;1,42;6,19;27515000000;0,99;4400000000;1,18E+12;998,4;14,3;3,56E+12;3020,88;44,24;38,05;102,54;19,35;15,2;12;91690694000;86,13;1,04E+11;83,76;44;1178440000;4;5;7;89,96;6;36,06;29,1;36;9
1994;China;481;79;610;55;0;3;23;5;38;214;46;27;26;112;50;333;79;96;153;64;4,91E+11;1,8;10134000000;49,94;9,02;40,92;58,47;18,54;1,3;58,13;2,22;5,99;33787000000;0,35;2000000000;1,33E+12;1116,03;14,03;4,85E+12;4073,4;40,95;35,34;99,08;17,23;20,6;12;1,21E+11;88,53;1,16E+11;85,28;41,93;1191835000;4;5;7;70,52;6;35,77;30,02;46;3
1995;China;476;69;548;70;0;3;25;5;50;179;59;39;21;92;97;340;83;123;177;92;6,28E+11;1,7;12291000000;49,6;9,16;40,44;57,3;17,95;1,63;59,01;3,28;4,88;35849200000;0,27;2000000000;1,48E+12;1224,85;13,25;6,04E+12;5009,45;39,68;33,19;98,7;16,32;13,67;12;1,49E+11;87,1;1,32E+11;84,25;38,24;1204855000;4;5;7;78,6;6;34,27;30,96;61;4
1996;China;535;64;712;143;0;5;31;5;113;291;68;66;20;113;57;430;175;181;172;90;7,33E+11;1,7;14467000000;48,39;9,34;39,05;57,34;17,92;2,03;60;4,39;4,65;40180000000;0,24;2114000000;1,62E+12;1332,42;13,13;7,08E+12;5813,28;38,37;32,47;98,37;15,89;6,5;12;1,51E+11;87,8;1,39E+11;82,64;33,56;1217550000;4;5;7;86,36;6;33,81;31,92;114;5
1997;China;547;40;768;188;0;3;40;7;114;373;83;68;34;92;104;485;202;196;168;121;8,19E+11;2,04;19361421363;48;9,52;38,48;58,84;19,49;4,45;59,6;5,57;4,73;45439000000;0,39;3765000000;1,77E+12;1440,59;13,65;7,88E+12;6406,35;36,34;31,82;95,94;15,04;1,62;12;1,83E+11;87,91;1,42E+11;82,55;33,81;1230075000;4;5;7;93,01;6;34,53;32,88;121;6
1998;China;549;44;896;165;0;2;26;12;113;388;130;113;69;114;136;663;243;257;238;205;8,65E+11;2;20230449480;47,91;9,69;38,22;61,62;18,34;4,26;60,4;6,87;4,44;45644000000;0,44;4527000000;1,91E+12;1538,66;14,83;8,38E+12;6748,95;35,68;33,75;96,08;14,08;-0,89;12;1,84E+11;87,83;1,4E+11;83,92;31,48;1241935000;3;5;7;98;6;32,42;33,87;144;4
1999;China;780;56;1509;348;4;11;39;8;276;342;184;166;92;157;187;759;239;314;243;226;9,18E+11;1,79;19332000000;47,4;9,84;37,56;66,93;18,16;2,8;62,52;8,48;3,75;41014000000;0,37;4036000000;2,06E+12;1642,36;16,24;8,94E+12;7133,71;34,96;33,39;97,49;15,36;-1,27;12;1,95E+11;88,1;1,66E+11;83,11;32,96;1252735000;3;5;7;92,68;6;33,52;34,87;175;8
2000;China;1437;45;2543;498;11;20;62;65;361;447;207;182;153;249;319;1278;258;445;369;291;1,01E+12;1,79;21480000000;46,2;9,96;36,24;83,7;20,89;2,38;63,49;11,22;3,48;42095300000;0,38;4612000000;2,23E+12;1767,83;16,63;9,91E+12;7845,92;34,43;33,43;97,92;18,52;2,06;12;2,49E+11;86,93;2,25E+11;78,93;39,15;1262645000;3;5;7;92,76;6;39,41;35,88;276;7
2001;China;2175;61;3788;594;6;37;134;97;1179;752;245;249;256;243;373;1404;307;667;327;310;1,1E+12;1,79;23628000000;45,25;10,08;35,17;;20,31;2,1;61,83;13,88;3,51;47053000000;0,72;9696000000;2,42E+12;1901,41;16,09;1,09E+13;8591,91;36,42;34,33;98,25;18,22;2,04;12;2,67E+11;86,32;2,44E+11;78,44;38,05;1271850000;3;5;7;96,77;6;38,53;37,09;280;14
2002;China;2913;125;5617;834;16;63;229;77;2549;1221;247;365;303;280;329;1485;391;769;357;386;1,23E+12;1,79;26134000000;43,6;10,17;33,43;;22,64;2,54;60,85;16,39;3,61;53073618897;0,43;6284049719;2,64E+12;2061,16;15,6;1,2E+13;9409,59;37,08;35,98;97,93;20,1;0,6;12;3,26E+11;85,72;2,95E+11;76,68;42,21;1280400000;3;5;7;94,55;6;42,75;38,43;310;16
2003;China;4409;369;7350;1184;31;77;432;169;5702;2562;340;606;524;417;674;1946;358;1024;406;453;1,38E+12;1,79;29535000000;41,61;10,24;31,37;;26,98;2,16;57,86;19,98;3,49;57900937467;0,51;8456083724;2,9E+12;2253,93;14,68;1,37E+13;10600,45;40,63;39,27;98,49;24,82;2,61;12;4,39E+11;85,11;4,13E+11;73,96;51,26;1288400000;3;5;7;88,38;6;51,8;39,78;394;35
2004;China;5233;765;6973;1234;22;329;350;226;6141;3899;526;1568;1353;554;2330;2177;390;1220;433;556;1,59E+12;1,79;34905000000;39,84;10,3;29,54;;31,06;2,62;55,05;23,56;3,48;68117272181;0,41;7972601714;3,2E+12;2467,13;13,9;1,61E+13;12454,17;42,89;40,58;97,94;28,44;6,95;12;5,94E+11;84,29;5,61E+11;72,48;59,05;1296075000;3;6;6;85,85;6;59,51;41,14;593;38
2005;China;7310;1583;9675;1601;31;933;396;374;8976;5299;420;2674;1708;743;3335;2619;420;1459;590;680;1,84E+12;1,79;40633000000;38,57;10,37;28,2;;33,83;5,45;54,16;26,33;4,55;1,04E+11;0,6;13729566303;3,56E+12;2732,17;14;1,86E+13;14266,78;41,39;40,47;95,55;28,38;3,9;12;7,62E+11;83,4;6,6E+11;69,72;62,2;1303720000;3;6;6;84,92;6;62,21;42,52;849;50
2006;China;8451;1955;11524;1877;43;1633;654;438;16531;8353;763;3412;1441;938;3051;3208;524;1930;774;840;2,2E+12;1,79;49225000000;37,6;10,47;27,14;;36,04;7,59;52,28;27,48;4,51;1,24E+11;0,87;23932198468;4,02E+12;3062,53;13,95;2,19E+13;16706,72;40,93;39,75;93,22;28,44;3,93;12;9,69E+11;81,42;7,92E+11;68,11;63,97;1311020000;3;6;6;86,25;6;64,48;43,87;1103;100
2007;China;9962;2720;12454;2427;112;1643;914;513;20644;9152;792;823;686;802;454;3929;845;2330;986;965;2,81E+12;1,79;63724000000;37,01;10,57;26,45;;35,43;8,68;50,44;27,16;4,4;1,56E+11;0,48;17154799702;4,59E+12;3480,15;13,49;2,71E+13;20540,79;41,48;38,89;91,92;26,76;7,75;12;1,22E+12;79,17;9,56E+11;66,85;61,31;1317885000;3;6;6;89,33;6;62,19;45,2;640;131
2008;China;12519;3515;15073;3107;229;1818;1689;571;20400;9255;967;1169;921;881;518;4606;1028;2725;930;1667;3,51E+12;1,79;82877000000;36,74;10,69;26,06;;32,6;7,59;49,32;25,15;3,73;1,72E+11;1,24;56742276630;5,03E+12;3796,63;13,2;3,21E+13;24250,05;43,3;40,1;92,63;25,01;7,79;12;1,43E+12;76,84;1,13E+12;65,57;55,79;1324655000;3;6;6;97,02;6;57,61;46,54;827;265
2009;China;17065;4955;19932;3804;396;2818;2087;619;18600;11867;1189;1380;1215;1139;686;5516;1465;3825;1147;1717;4,01E+12;1,79;91290000000;36,6;10,84;25,77;;24,75;4,31;49,56;23,05;2,57;1,31E+11;0,86;43889985500;5,5E+12;4132,9;13,22;3,48E+13;26135,76;46,52;44,97;96,08;20,44;-0,21;12;1,2E+12;76,63;1E+12;66,41;43,27;1331260000;3;6;6;101,11;6;45,18;47,88;960;410
2010;China;20279;4406;23253;5032;271;3246;2392;858;23125;13112;1379;1691;1500;1317;761;6741;1624;4026;1423;2135;4,63E+12;1,79;1,09E+11;36,49;11,02;25,47;;27,19;3,65;48,29;21,51;4;2,44E+11;0,95;57953599366;6,09E+12;4550,45;12,85;4,1E+13;30675,98;47,72;45,09;96;23,53;6,88;12;1,58E+12;75,26;1,39E+12;64,73;48,86;1337705000;3;6;6;100;6;50,72;49,23;882;519
